,doi,url,title,abstract,is_biomimicry,petal_id
12,10.1002/smll.201802328,https://www.semanticscholar.org/paper/50875969aa03df35733fa56998a2c618e8e493b9,A Literal Elytral Rainbow: Tunable Structural Colors Using Single Diamond Biophotonic Crystals in Pachyrrhynchus congestus Weevils.,"The brilliant colors of many insects arise from the interference of incident light with complex nanostructured biomaterials that are present in their cuticle. Here, the rainbow-colored spots on the elytra of a snout weevil, Pachyrrhynchus congestus pavonius (Coleoptera: Curculionidae), are investigated using synchrotron small-angle X-ray scattering, scanning electron microscopy, microspectrophotometry, and photonic bandgap modeling. It is shown that the iridescent scales present in the rainbow-hued spots are due to a 3D photonic crystal network of chitin in air with a single diamond (Fd-3m) symmetry. In many insects, different orientations of photonic crystal domains are used to create various hues. In this weevil, however, both the chitin volume fractions as well as the lattice parameters of the biologically self-assembled single diamond nanostructure are varied to achieve the remarkable tuning of the structural colors across the visible light spectrum on a scale-by-scale basis. Uncovering the precise mechanism of color tuning employed by this weevil has important implications for further structural and developmental research on biophotonic nanostructures and may provide fresh impetus for bioinspired and biomimetic multifunctional applications, as synthesis of photonic crystals at visible length scales is currently challenging.",True,
13,10.7554/eLife.52716,https://www.semanticscholar.org/paper/e0a0f64031caff6812c6b1d79ead83458d64a19d,Multimeric single-domain antibody complexes protect against bunyavirus infections,"The World Health Organization has included three bunyaviruses posing an increasing threat to human health on the Blueprint list of viruses likely to cause major epidemics and for which no, or insufficient countermeasures exist. Here, we describe a broadly applicable strategy, based on llama-derived single-domain antibodies (VHHs), for the development of bunyavirus biotherapeutics. The method was validated using the zoonotic Rift Valley fever virus (RVFV) and Schmallenberg virus (SBV), an emerging pathogen of ruminants, as model pathogens. VHH building blocks were assembled into highly potent neutralizing complexes using bacterial superglue technology. The multimeric complexes were shown to reduce and prevent virus-induced morbidity and mortality in mice upon prophylactic administration. Bispecific molecules engineered to present two different VHHs fused to an Fc domain were further shown to be effective upon therapeutic administration. The presented VHH-based technology holds great promise for the development of bunyavirus antiviral therapies.",True,
14,10.1371/journal.ppat.1008620,https://www.semanticscholar.org/paper/79500c9009c74b614b487ce22c8d5d37f2a3b279,"Campylobacter jejuni motility integrates specialized cell shape, flagellar filament, and motor, to coordinate action of its opposed flagella","Campylobacter jejuni rotates a flagellum at each pole to swim through the viscous mucosa of its hosts’ gastrointestinal tracts. Despite their importance for host colonization, however, how C. jejuni coordinates rotation of these two opposing flagella is unclear. As well as their polar placement, C. jejuni’s flagella deviate from the norm of Enterobacteriaceae in other ways: their flagellar motors produce much higher torque and their flagellar filament is made of two different zones of two different flagellins. To understand how C. jejuni’s opposed motors coordinate, and what contribution these factors play in C. jejuni motility, we developed strains with flagella that could be fluorescently labeled, and observed them by high-speed video microscopy. We found that C. jejuni coordinates its dual flagella by wrapping the leading filament around the cell body during swimming in high-viscosity media and that its differentiated flagellar filament and helical body have evolved to facilitate this wrapped-mode swimming.",True,
15,10.1021/acsnano.9b09941,https://www.semanticscholar.org/paper/55630bf7b613324ec7d638ca22dc60cd696047cd,The Balance between Actomyosin Contractility and Microtubule Polymerization Regulates Hierarchical Protrusions That Govern Efficient Fibroblast-Collagen Interactions.,"Fibroblasts undergo a critical transformation from an initially inactive state to a morphologically different and contractile state after several hours of being embedded within a physiologically relevant three-dimensional (3D) fibrous collagen-based extracellular matrix (ECM). However, little is known about the critical mechanisms by which fibroblasts adapt themselves and their microenvironment in the earliest stage of cell-matrix interaction. Here, we identified the mechanisms by which fibroblasts interact with their 3D collagen fibrous matrices in the early stages of cell-matrix interaction and showed that fibroblasts use energetically efficient hierarchical micro/nano scaled protrusions in these stages as the primary means for the transformation and adaptation. We found that actomyosin contractility in these protrusions in the early stages of cell-matrix interaction restricts the growth of microtubules by applying compressive forces on them. Our results show that actomyosin contractility and microtubules work in concert in the early stages of cell-matrix interaction to adapt fibroblasts and their microenvironment to one another. These early-stage interactions result in responses to disruption of the microtubule network and/or actomyosin contractility that are opposite to well-known responses to late-stage disruption, and reveal insight into the ways that cells adapt themselves and their ECM recursively.",True,
16,10.1128/AEM.01361-20,https://www.semanticscholar.org/paper/258847a825c5c2c7a022cc02c14fe7d39588f63c,Fast and Facile Biodegradation of Polystyrene by the Gut Microbial Flora of Plesiophthalmus davidis Larvae,"PS is widely produced in the modern world, but it is robust against biodegradation. A few studies reported the biodegradation of PS, but most of them merely observed its weight loss; fewer were able to find its chemical modifications, which are rather direct evidence of biodegradation, by using limited organisms. Therefore, it is required to find an effective way to decompose PS using various kinds of organisms. Herein, we discovered a new PS-degrading insect species and bacterial strain, and we found that the genus that includes the PS-degrading bacterial strain occurs in significant amounts in the larval gut flora, and the proportion of this genus increased as the larvae were fed Styrofoam. Our research offers a wider selection of PS-degrading insects and the possibility of using a certain mixture of bacteria that resemble the gut flora of a PS-degrading insect to biodegrade PS, and thus could contribute to solving the global plastic crisis.  Polystyrene (PS), which accounts for a significant fraction of plastic wastes, is difficult to biodegrade due to its unique molecular structure. Therefore, biodegradation and chemical modification of PS are limited. In this study, we report PS biodegradation by the larvae of the darkling beetle Plesiophthalmus davidis (Coleoptera: Tenebrionidae). In 14 days, P. davidis ingested 34.27 ± 4.04 mg of Styrofoam (PS foam) per larva and survived by feeding only on Styrofoam. Fourier transform infrared spectroscopy confirmed that the ingested Styrofoam was oxidized. Gel permeation chromatography analysis indicated the decrease in average molecular weight of the residual PS in the frass compared with the feed Styrofoam. When the extracted gut flora was cultured for 20 days with PS films, biofilm and cavities were observed by scanning electron microscopy and atomic force microscopy. X-ray photoelectron spectroscopy (XPS) studies revealed that C-O bonding was introduced into the biodegraded PS film. Serratia sp. strain WSW (KCTC 82146), which was isolated from the gut flora, also formed a biofilm and cavities on the PS film in 20 days, but its degradation was less prominent than the gut flora. XPS confirmed that C-O and C=O bonds were introduced into the biodegraded PS film by Serratia sp. WSW. Microbial community analysis revealed that Serratia was in the gut flora in significant amounts and increased sixfold when the larvae were fed Styrofoam for 2 weeks. This suggests that P. davidis larvae and its gut bacteria could be used to chemically modify and rapidly degrade PS. IMPORTANCE PS is widely produced in the modern world, but it is robust against biodegradation. A few studies reported the biodegradation of PS, but most of them merely observed its weight loss; fewer were able to find its chemical modifications, which are rather direct evidence of biodegradation, by using limited organisms. Therefore, it is required to find an effective way to decompose PS using various kinds of organisms. Herein, we discovered a new PS-degrading insect species and bacterial strain, and we found that the genus that includes the PS-degrading bacterial strain occurs in significant amounts in the larval gut flora, and the proportion of this genus increased as the larvae were fed Styrofoam. Our research offers a wider selection of PS-degrading insects and the possibility of using a certain mixture of bacteria that resemble the gut flora of a PS-degrading insect to biodegrade PS, and thus could contribute to solving the global plastic crisis.",True,
17,10.1016/j.matt.2020.09.023,https://www.semanticscholar.org/paper/797949ecef33cffc6a5ab2f2509154fe48ac77a3,Soft Matter Mechanics and the Mechanisms Underpinning the Infrared Vision of Snakes,"Pit-bearing snakes (vipers, pythons, and boas) have the extraordinary ability to “see” and accurately locate their prey and predators in total darkness. These animals use the infrared radiation emanating from objects that are warmer relative to the background environment to form a thermal image. Although enormous progress has been made to identify the key physiological features that enable the infrared vision of these snakes and a few other animals, the precise thermoelectric transduction mechanism that mediates the conversion of infrared heat to processable electrical signals has remained elusive. In this work, we quantitatively outline how cells in the snake's pit membrane organ act as apparent pyroelectric materials and convert infrared radiation into electrical signals. Despite the exceptional simplicity of our proposed mechanism and model, we are able to explain many central experimental results pertaining to the transduction process.",True,
18,10.7554/eLife.55774,https://www.semanticscholar.org/paper/282fae4ef558daf400481991a1a27bf00d12dcf2,Alcids ‘fly’ at efficient Strouhal numbers in both air and water but vary stroke velocity and angle,"Birds that use their wings for ‘flight’ in both air and water are expected to fly poorly in each fluid relative to single-fluid specialists; that is, these jacks-of-all-trades should be the masters of none. Alcids exhibit exceptional dive performance while retaining aerial flight. We hypothesized that alcids maintain efficient Strouhal numbers and stroke velocities across air and water, allowing them to mitigate the costs of their ‘fluid generalism’. We show that alcids cruise at Strouhal numbers between 0.10 and 0.40 – on par with single-fluid specialists – in both air and water but flap their wings ~ 50% slower in water. Thus, these species either contract their muscles at inefficient velocities or maintain a two-geared muscle system, highlighting a clear cost to using the same morphology for locomotion in two fluids. Additionally, alcids varied stroke-plane angle between air and water and chord angle during aquatic flight, expanding their performance envelope.",True,
19,10.1002/anie.202007885,https://www.semanticscholar.org/paper/c698a3f6f2109d41d6c763849c620b5708a5cbba,Tillandsia-Inspired Hygroscopic Photothermal Organogels for Efficient Atmospheric Water Harvesting.,"Tillandsia species with degenerated roots have evolved into hygroscopic leaves that absorb moisture from air. This interesting biological adaptability has inspired us to develop an integrated hygroscopic photothermal organogel (POG) to achieve a solar-powered atmospheric water harvesting (AWH). The well-designed hydrophilic co-polymeric skeleton is fabricated to accommodate hygroscopic glycerin medium, which enables the POG self-contained property, mechanically flexibility and synergistic enhancement of moisture sorption. The integration of interpenetrated photothermal component of poly-pyrrole-dopamine (P-Py-DA) can endow the POG an efficient solar-to-thermal property for controllable solar-driven interfacial water releasing. The integrated POG has an equilibrium moisture sorption of 16.01 kg m-2 at the RH of 90 %, and daily water production as high as 2.43 kg m-2 day-1 is achieved in actual outdoor experiments.",True,
20,10.1038/s41467-020-16600-2,https://www.semanticscholar.org/paper/b037084b312548b3e68b1f613bd70b819ff34339,Mode of action of teixobactins in cellular membranes,"The natural antibiotic teixobactin kills pathogenic bacteria without detectable resistance. The difficult synthesis and unfavourable solubility of teixobactin require modifications, yet insufficient knowledge on its binding mode impedes the hunt for superior analogues. Thus far, teixobactins are assumed to kill bacteria by binding to cognate cell wall precursors (Lipid II and III). Here we present the binding mode of teixobactins in cellular membranes using solid-state NMR, microscopy, and affinity assays. We solve the structure of the complex formed by an improved teixobactin-analogue and Lipid II and reveal how teixobactins recognize a broad spectrum of targets. Unexpectedly, we find that teixobactins only weakly bind to Lipid II in cellular membranes, implying the direct interaction with cell wall precursors is not the sole killing mechanism. Our data suggest an additional mechanism affords the excellent activity of teixobactins, which can block the cell wall biosynthesis by capturing precursors in massive clusters on membranes. The natural antibiotic teixobactin kills bacteria by direct binding to their cognate cell wall precursors (Lipid II and III). Here authors use solid-state NMR to reveal the native binding mode of teixobactins and show that teixobactins only weakly bind to Lipid II in anionic cellular membranes.",True,
21,10.1038/s41467-020-14408-8,https://www.semanticscholar.org/paper/325956858f6356cbc6f225d075dd26859703c53f,Physical and behavioral adaptations to prevent overheating of the living wings of butterflies,"The wings of Lepidoptera contain a matrix of living cells whose function requires appropriate temperatures. However, given their small thermal capacity, wings can overheat rapidly in the sun. Here we analyze butterfly wings across a wide range of simulated environmental conditions, and find that regions containing living cells are maintained at cooler temperatures. Diverse scale nanostructures and non-uniform cuticle thicknesses create a heterogeneous distribution of radiative cooling that selectively reduces the temperature of structures such as wing veins and androconial organs. These tissues are supplied by circulatory, neural and tracheal systems throughout the adult lifetime, indicating that the insect wing is a dynamic, living structure. Behavioral assays show that butterflies use wings to sense visible and infrared radiation, responding with specialized behaviors to prevent overheating of their wings. Our work highlights the physiological importance of wing temperature and how it is exquisitely regulated by structural and behavioral adaptations. Butterfly wings have low thermal capacity and thus are vulnerable to damage by overheating. Here, Tsai et al. take an interdisciplinary approach to reveal the organs, nanostructures and behaviors that enable butterflies to sense and regulate their wing temperature.",True,
23,10.1002/adfm.201001546,https://www.semanticscholar.org/paper/3413f0d407c220465b7a1849ace7bd2024dd89f2,Self‐Sharpening Mechanism of the Sea Urchin Tooth,"The sea urchin tooth is a mosaic of calcite crystals shaped precisely into plates and fibers, cemented together by a robust calcitic polycrystalline matrix. The tooth is formed continuously at one end, while it grinds and wears at the opposite end, the sharp tip. Remarkably, these teeth enable the sea urchin to scrape and bore holes into rock, yet the teeth remain sharp rather than dull with use. Here we describe the detailed structure of the tooth of the California purple sea urchin Strongylocentrotus purpuratus, and focus on the self-sharpening mechanism. Using high-resolution X-ray photoelectron emission spectromicroscopy (X-PEEM), scanning electron microscopy (SEM), EDX analysis, nanoindentation, and X-ray micro-tomography, we deduce that the sea urchin tooth self-sharpens by fracturing at discontinuities in the material. These are organic layers surrounding plates and fibers that behave as the “fault lines” in the tooth structure, as shown by nanoindentation. Shedding of tooth components at these discontinuities exposes the robust central part of the tooth, aptly termed “the stone”, which becomes the grinding tip. The precise design and position of the plates and fibers determines the profile of the tooth tip, so as the tooth wears it maintains a tip that is continually renewed and remains sharp. This strategy may be used for the top-down or bottom-up fabrication of lamellar materials, to be used for mechanical functions at the nano- and micrometer scale.",True,
24,10.1126/science.aaz6802,https://www.semanticscholar.org/paper/9dcc248f8adf7c15ecf0fa57307b40cf71d7d817,Light-powered CO2 fixation in a chloroplast mimic with natural and synthetic parts,"Hybrid approach catches light Plant chloroplasts enclose two major photosynthetic processes: light reactions, which generate the energy carriers adenosine triphosphate and reduced nicotinamide dinucleotide phosphate (NADPH), and dark reactions, which use these molecules to fix carbon dioxide and build biomass. Miller et al. appropriated natural components, thylakoid membranes from spinach, for the light reactions and showed that these could be coupled to a synthetic enzymatic cycle that fixes carbon dioxide within water-in-oil droplets. The composition of the droplets could be tuned and optimized and the metabolic activity monitored in real time by NADPH fluorescence (see the Perspective by Gaut and Adamala). These chloroplast-mimicking droplets bring together natural and synthetic components in a small space and are amenable to further functionalization to perform complex biosynthetic tasks. Science, this issue p. 649; see also p. 587 Natural photosynthetic components power a synthetic CO2 fixation pathway in picoliter droplets. Nature integrates complex biosynthetic and energy-converting tasks within compartments such as chloroplasts and mitochondria. Chloroplasts convert light into chemical energy, driving carbon dioxide fixation. We used microfluidics to develop a chloroplast mimic by encapsulating and operating photosynthetic membranes in cell-sized droplets. These droplets can be energized by light to power enzymes or enzyme cascades and analyzed for their catalytic properties in multiplex and real time. We demonstrate how these microdroplets can be programmed and controlled by adjusting internal compositions and by using light as an external trigger. We showcase the capability of our platform by integrating the crotonyl–coenzyme A (CoA)/ethylmalonyl-CoA/hydroxybutyryl-CoA (CETCH) cycle, a synthetic network for carbon dioxide conversion, to create an artificial photosynthetic system that interfaces the natural and the synthetic biological worlds.",True,
