Name,Press release/Article,Posted by,Organism,Functions,Categories,Notes,Editor,Collection,Paper website,Paper,Technology category,Development stage,SDGs addressed,Keywords,Mimic level,"Biomimicry ""type""",Innovation Summary,Biomimicry Summary,University Address,Primary Author,Primary Author Email,Video,Photos,Paper 2,Supplemental material,Paper mentions biomimicry?,Patent,Patent number,Patent year,Patent mentions biomimicry?,Date/Time Created,Added by
Bar-headed goose (Anser indicus),,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=pJMNmEEVMC4&ab_channel=AviBirds,,,,,,,,,1/13/21 12:34,Ashley Hall
Black Swan (Cygnus atratus),,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=Udu_Y78QE5I&ab_channel=AviBirds,,,,,,,,,1/13/21 12:33,Ashley Hall
Brahma Chicken,,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=DGDpa_mkn6A&ab_channel=AviBirds,,,,,,,,,1/13/21 12:22,Ashley Hall
Cape Barren Goose (Cereopsis novaehollandiae),,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=1pUz9V7njLg&ab_channel=AviBirds,,,,,,,,,1/13/21 12:21,Ashley Hall
Great Egret (Ardea alba),,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=K2cFbI7QdIw&ab_channel=AviBirds,,,,,,,,,1/13/21 12:18,Ashley Hall
Indian Runner Duck (Anas platyrhynchos domesticus),,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=wXLJSCobBEM&ab_channel=AviBirds,,,,,,,,,1/13/21 12:16,Ashley Hall
Black-headed Gull (Chroicocephalus ridibundus),,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=jhHM8Pxu5sw&ab_channel=AviBirds,,,,,,,,,1/13/21 12:14,Ashley Hall
Helmeted Guineafowl (Numida meleagris),,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=IleQmIwb1C4&ab_channel=AviBirds,,,,,,,,,1/13/21 12:12,Ashley Hall
Great White Pelican (Pelecanus onocrotalus),,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=7Tvn60WVz3Q&t=3s&ab_channel=AviBirds,,,,,,,,,1/13/21 12:10,Ashley Hall
Ruddy Shelduck (Tadorna ferruginea),,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=xPKV7QqI16w&ab_channel=AviBirds,,,,,,,,,1/13/21 12:05,Ashley Hall
Great Cormorant (Phalacrocorax carbo),,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=N0F1rUF0HNI&ab_channel=AviBirds,,,,,,,,,1/13/21 12:03,Ashley Hall
Greater Flamingo (Phoenicopterus roseus),,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=0MqdtjgH7zQ&ab_channel=AviBirds,,,,,,,,,1/13/21 12:01,Ashley Hall
Grey Crowned Crane (Balearica regulorum),,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=6MmCzQYuMUE&ab_channel=AviBirds,,,,,,,,,1/13/21 11:58,Ashley Hall
Indian peafowl (Pavo cristatus),,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=zNxXn_aN9_U&ab_channel=AviBirds,,,,,,,,,1/13/21 11:56,Ashley Hall
Tula Fighting Goose,,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=D52enHXz8b0&ab_channel=AviBirds,,,,,,,,,1/13/21 11:56,Ashley Hall
White Stork (Ciconia ciconia),,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=Dfs3T1Nd40E&ab_channel=AviBirds,,,,,,,,,1/13/21 11:52,Ashley Hall
Moorhen (Gallinula),,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=2psmJ0QtJlI&ab_channel=AviBirds,,,,,,,,,1/13/21 11:49,Ashley Hall
Mute Swan (Cygnus olor),,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=uNjZS26jGv0&ab_channel=AviBirds,,,,,,,,,1/13/21 11:45,Ashley Hall
Mallard Duck (Anas platyrhychos),,,,,,,,,,,,,,,,,,,,,,"https://www.youtube.com/watch?v=zlIpkR589Q4&ab_channel=AviBirds

https://www.youtube.com/watch?v=Q-8GXk9r0ik&t=4s&ab_channel=DeepLook
",,,,,,,,,1/13/21 11:42,Ashley Hall
Hooded Crow (Corvus cornix),,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=OXX2sg1K6co&ab_channel=AviBirds,,,,,,,,,1/13/21 11:37,Ashley Hall
Greylag Goose (Anser anser),,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=T0qYRz2oDmI&ab_channel=AviBirds,,,,,,,,,1/13/21 11:37,Ashley Hall
"Why doesn't Ebola cause disease in bats, as it does in people?",https://www.sciencedaily.com/releases/2020/08/200818142147.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/19/20 6:58,Alex Ralevski
Could Owl and Crocodilian Tears Lead to a Cure for Your Dry Eyes?,https://www.nytimes.com/2020/08/13/science/animal-tears.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/17/20 9:59,Alex Ralevski
Enhanced water repellent surfaces discovered in nature,https://www.nsf.gov/discoveries/disc_summ.jsp?cntn_id=300932&WT.mc_id=USNSF_1#.Xzp6TIX7r-A.linkedin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/17/20 9:59,Alex Ralevski
"Biology blurs line between sexes, behaviors",https://www.sciencedaily.com/releases/2020/08/200810140949.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/12/20 7:44,Alex Ralevski
This fruit attracts birds with an unusual way of making itself metallic blue,https://www.sciencedaily.com/releases/2020/08/200806111854.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/7/20 9:56,Alex Ralevski
3D video reveals how sperm really swim,https://www.sciencemag.org/news/2020/07/watch-3d-video-reveal-how-sperm-really-swim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/5/20 9:47,Alex Ralevski
The Male Anglerfish’s Evolutionary Solution to Female Rejection,https://www.nytimes.com/2020/07/30/science/anglerfish-immune-rejection.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/3/20 15:37,Alex Ralevski
New insights into wound healing,https://www.sciencedaily.com/releases/2020/07/200729124355.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/3/20 8:24,Alex Ralevski
Microbiologists clarify relationship between microbial diversity and soil carbon storage,https://www.sciencedaily.com/releases/2020/07/200728130828.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/29/20 13:58,Alex Ralevski
Eavesdropping on trout building their nests,sciencedaily.com/releases/2020/07/200728113627.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/29/20 13:58,Alex Ralevski
Biologists zero in on cells' environmental sensing mechanism,https://www.sciencedaily.com/releases/2020/07/200728130826.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/29/20 13:58,Alex Ralevski
"Metal-breathing bacteria could transform electronics, biosensors, and more",https://www.sciencedaily.com/releases/2020/07/200728130831.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/29/20 13:57,Alex Ralevski
Glass frog with translucent skin found in Costa Rica,https://www.youtube.com/watch?v=W5k_S8N0pFo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/29/20 10:00,Alex Ralevski
Scientists Use 3D Modeling To Find Out How This Snake Can Fly,https://www.popularmechanics.com/science/animals/a33289391/flying-snake-physics/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/27/20 13:35,Alex Ralevski
Different from a computer: Why the brain never processes the same input in the same way,https://www.sciencedaily.com/releases/2020/07/200724104219.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/27/20 9:42,Alex Ralevski
Desert mosses use quartz rocks as sun shades,https://www.sciencedaily.com/releases/2020/07/200724104209.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/27/20 9:42,Alex Ralevski
Scientists discover how immune cells mobilize to fight infection,https://www.sciencedaily.com/releases/2020/07/200722112741.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/24/20 11:18,Alex Ralevski
Young dolphins pick their friends wisely,https://www.sciencedaily.com/releases/2020/07/200723172000.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/24/20 11:15,Alex Ralevski
"In Social Insects, Researchers Find Hints for Controlling Disease ",https://undark.org/2020/07/22/social-insects-control-disease/,Mary Hoff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/22/20 13:32,Andrew Howley
Spider monkey groups as collective computers,https://www.sciencedaily.com/releases/2020/07/200721160725.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/22/20 9:30,Alex Ralevski
A new species of darkling beetle larvae that degrade plastic,https://www.sciencedaily.com/releases/2020/07/200720102054.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/21/20 16:32,Alex Ralevski
The Andean Condor Can Soar 100 Miles Without Flapping,https://www.smithsonianmag.com/smart-news/andean-condor-can-soar-100-miles-without-flapping-180975342/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/21/20 14:49,Alex Ralevski
New research reveals antifungal symbiotic peptide in legume,https://www.sciencedaily.com/releases/2020/07/200720103320.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/21/20 14:49,Alex Ralevski
River plants counter both flooding and drought to protect biodiversity,https://www.sciencedaily.com/releases/2020/07/200717101013.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/20/20 18:32,Alex Ralevski
Turmeric could have antiviral properties,https://www.sciencedaily.com/releases/2020/07/200717120154.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/20/20 18:32,Alex Ralevski
Pine beetles successful no matter how far they roam -- with devastating effects,https://www.sciencedaily.com/releases/2020/07/200716220924.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/20/20 18:31,Alex Ralevski
Beautyberry leaf extract restores drug's power to fight 'superbug',https://www.sciencedaily.com/releases/2020/07/200716120658.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/18/20 19:27,Alex Ralevski
Enhanced water repellent surfaces discovered in nature (Note: we already have strategy pages on mosquito eyes and springtails),https://www.sciencedaily.com/releases/2020/07/200717140740.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/17/20 13:17,
Ultra-black skin allows some fish to lurk unseen,https://www.sciencedaily.com/releases/2020/07/200716111636.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/17/20 11:10,Alex Ralevski
Bacteria that eats metal accidentally discovered by scientists,https://www.cnn.com/2020/07/16/world/metal-eating-bacteria-intl-scli-scn/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/16/20 13:36,Alex Ralevski
How flies flip around on take-off from an upside- down position,https://www.sciencedaily.com/releases/2020/07/200715123141.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/16/20 11:16,Alex Ralevski
Exploring how a scorpion toxin might help treat heart attacks,https://www.sciencedaily.com/releases/2020/07/200715123145.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/16/20 11:15,Alex Ralevski
high-flying study reveals secrets of soaring birds,https://www.sciencedaily.com/releases/2020/07/200714111730.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/15/20 21:28,Alex Ralevski
Mantis shrimp helicoid structure in club,How to Prevent Structural Failure,Megan Schuknecht ,,2018,,,,,,Create new strategy page,Suksangpayna_2018_Crack twisting and toughening strategies in Bouligand architectures.pdf (https://dl.airtable.com/.attachments/93216fd9d6dd4f68e3fc8887d4b1b896/06a03c06/Suksangpayna_2018_CracktwistingandtougheningstrategiesinBouligandarchitectures.pdf),International Journal of Solids and Structures,https://www.sciencedirect.com/science/article/pii/S0020768318302282,https://news.ucr.edu/articles/2018/06/25/why-mantis-shrimp-dont-crack-under-pressure,,,,,,,,,,,,,,,,,7/14/20 16:18,Alex Ralevski
Twistless Spring,How to Prevent Structural Failure,Megan Schuknecht ,,2012,,,,,,Create new strategy page,Gerbode_2012_How the Cucumber Tendril Coils and Overwinds.pdf (https://dl.airtable.com/.attachments/1ee8b98d8093c2329dcccb901650e413/956ba72b/Gerbode_2012_HowtheCucumberTendrilCoilsandOverwinds.pdf),Science,https://science.sciencemag.org/content/337/6098/1087.abstract,https://wyss.harvard.edu/news/uncoiling-the-cucumbers-enigma/,,,,,,,,,,,,,,,,,7/14/20 16:18,Alex Ralevski
Green is more than skin-deep for hundreds of frog species,https://www.sciencedaily.com/releases/2020/07/200713165602.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/14/20 14:49,Alex Ralevski
Evolution of structural color in insects,https://www.sciencedaily.com/releases/2020/04/200414225712.htm,,,,,,,How Does Nature Create Colour?,,,,,,,,,,,,,,,,,,,,,,,7/13/20 15:09,Alex Ralevski
Structural color in butterflies,https://www.sciencedaily.com/releases/2020/04/200408151231.htm,,,,,,,How Does Nature Create Colour?,https://elifesciences.org/articles/52187,,,,,,,,,,,,,,,,,,,,,,7/13/20 15:07,Alex Ralevski
how bees perceive colour,https://www.sciencealert.com/how-bee-brains-could-help-your-camera-take-better-photos,,,,,,,How Does Nature Create Colour?,https://www.pnas.org/content/early/2017/06/26/1703454114.full,,,,,,,,,,,,,,,,,,,,,,7/13/20 15:07,Alex Ralevski
How poppy flowers get those vibrant colors that entice insects,https://www.sciencedaily.com/releases/2019/02/190208115304.htm,,,,,,,How Does Nature Create Colour?,https://link.springer.com/article/10.1007%2Fs00359-018-01313-1,,,,,,,,,,,,,,,,,,,,,,7/13/20 15:07,Alex Ralevski
How squids change colour,https://www.sciencedaily.com/releases/2019/03/190306152406.htm,,,,,,,How Does Nature Create Colour?,https://www.nature.com/articles/s41467-019-08891-x,,,,,,,,,,,,,,,,,,,,,,7/13/20 15:07,Alex Ralevski
super black in colourful peacock spiders,,,,,,,,How Does Nature Create Colour?,https://royalsocietypublishing.org/doi/10.1098/rspb.2019.0589,,,,,,,,,,,,,,,,,,,,,,7/13/20 15:07,Alex Ralevski
New colour-generation mechanism discovered in 'rainbow' weevil,https://phys.org/news/2018-09-colour-generation-mechanism-rainbow-weevil.html,,,,,,,How Does Nature Create Colour?,https://onlinelibrary.wiley.com/doi/abs/10.1002/smll.201802328,,,,,,,,,,,,,,,,,,,,,,7/13/20 15:07,Alex Ralevski
How butterfly wings can shift in hue,https://www.sciencedaily.com/releases/2020/04/200407150821.htm,,,,,,,How Does Nature Create Colour?,https://elifesciences.org/articles/52187,,,,,,,,,,,,,,,,,,,,,,7/13/20 15:07,Alex Ralevski
Ultra black material,https://www.sciencedaily.com/releases/2020/03/200310124715.htm,,,,,,,How Does Nature Create Colour?,https://www.nature.com/articles/s41467-020-15033-1,,,,,,,,,,,,,,,,,,,,,,7/13/20 15:07,Alex Ralevski
Dragonfly wings with shock absorbers,https://www.uni-kiel.de/pressemeldungen/index.php?pmid=2017-257-libellen&lang=en&pr=1,,,,,,,,https://www.sciencedirect.com/science/article/abs/pii/S1742706117304695?via%3Dihub,,,,,,,,,,,,,,,,,,,,,,7/13/20 15:05,Alex Ralevski
What’s Behind a Tarantula’s Blue Hue,https://scripps.ucsd.edu/news/new-study-reveals-whats-behind-tarantulas-blue-hue,,,,,,,,https://advances.sciencemag.org/content/1/10/e1500709,,,,,,,,,,,,,,,,,,,,,,7/13/20 15:04,Alex Ralevski
horizontal rods of the bone are crucial to their ability to last a lifetime,https://3dprintingindustry.com/news/3d-printed-biomimicry-of-bone-yields-important-discovery-for-lightweight-and-durable-engineering-166245/,,,,,,,,https://www.pnas.org/content/116/49/24457.short?rss=1,,,,,,,,,,,,,,,,,,,,,,7/13/20 15:03,Alex Ralevski
"Like humans, beluga whales form social networks beyond family ties",https://www.sciencedaily.com/releases/2020/07/200710212233.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/13/20 9:17,Alex Ralevski
How Venus flytraps snap- update current strategy on AN,https://www.sciencedaily.com/releases/2020/07/200710140823.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/13/20 9:15,Alex Ralevski
Discovery reveals how plants make cellulose for strength and growth,https://www.sciencedaily.com/releases/2020/07/200709141632.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/10/20 9:16,Alex Ralevski
Investigation of hindwing folding in ladybird beetles ,https://www.pnas.org/content/114/22/5624.full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/9/20 9:24,Alex Ralevski
Seal whiskers spark design of novel underwater sensors,https://www.cambridge.org/core/journals/journal-of-fluid-mechanics/article/wakeinduced-slaloming-response-explains-exquisite-sensitivity-of-seal-whiskerlike-sensors/9F792065FF8161772AC36BD48E057C46,,,,,,Lonny Lippsett,,,,,,,,,,,,,,,,,,,,,,,,7/8/20 11:31,Andrew Howley
What we didn't know about penis anatomy ,https://www.ted.com/talks/diane_kelly_what_we_didn_t_know_about_penis_anatomy/transcript?language=en#t-108084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/8/20 11:31,Andrew Howley
Biological factories: How do bacteria build up natural products?,https://www.sciencedaily.com/releases/2020/07/200706140848.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/7/20 12:33,Alex Ralevski
"Stingers Have Achieved Optimal Pointiness, Physicists Show",https://www.scientificamerican.com/article/stingers-have-achieved-optimal-pointiness-physicists-show/?utm_source=newsletter&utm_medium=email&utm_campaign=today-in-science&utm_content=link&utm_term=2020-07-06_top-stories&spMailingID=67292434&spUserID=NDQwNjQ3ODAwNzUyS0&spJobID=1920660411&spReportId=MTkyMDY2MDQxMQS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/7/20 11:13,Alex Ralevski
Snakes have friends too,https://www.nationalgeographic.com/animals/2020/05/snakes-have-friends-adding-to-evidence-animal-sociability/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/7/20 11:13,Alex Ralevski
Algae as living biocatalysts for a green industry,https://www.sciencedaily.com/releases/2020/07/200702113700.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/6/20 9:04,Alex Ralevski
Marine algae from the Kiel Fjord discovered as a remedy against infections and skin cancer,https://www.sciencedaily.com/releases/2020/07/200702113731.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/6/20 9:04,Alex Ralevski
Scientists reveal why tummy bugs are so good at swimming through your gut,https://www.sciencedaily.com/releases/2020/07/200702144715.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/5/20 20:58,Alex Ralevski
Wild bees depend on the landscape structure,https://www.sciencedaily.com/releases/2020/06/200630125142.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/2/20 14:37,Alex Ralevski
Scientists shed new light on how seabirds cruise through air and water,https://www.sciencedaily.com/releases/2020/06/200630193211.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/30/20 16:48,Alex Ralevski
New 3-D model shows how the paradise tree snake uses aerial undulation to fly,https://phys.org/news/2020-06-d-paradise-tree-snake-aerial.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/30/20 16:47,Alex Ralevski
BEETLES THAT SURVIVE VOLCANIC HEAT INSPIRE STUFF THAT STAYS COOL,https://www.futurity.org/longicorn-beetle-cooling-material-2392622/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/30/20 9:53,Alex Ralevski
Cure for melanoma may a compound derived from a marine invertebrate that lives at the bottom of the ocean,https://www.sciencedaily.com/releases/2020/06/200625162248.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/29/20 15:25,Alex Ralevski
These muscle cells are guideposts to help regenerative flatworms grow back their eyes,https://www.sciencedaily.com/releases/2020/06/200625144848.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/29/20 15:25,Alex Ralevski
Beetles that survive volcanic heat inspire stuff that stays cool ,https://www.futurity.org/longicorn-beetle-cooling-material-2392622/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/26/20 10:39,Andrew Howley
Venus flytrap snapping mechanisms virtually captured,https://www.sciencedaily.com/releases/2020/06/200623111333.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/25/20 17:33,Alex Ralevski
What keeps spiders on the ceiling,https://www.sgorb.zoologie.uni-kiel.de/?page_id=337,,,,,,,,https://royalsocietypublishing.org/doi/10.1098/rsif.2018.0692,,,,,,,,,,,,,,,,,,,,,,6/23/20 15:51,Alex Ralevski
